SeriesID,SiteName,VariableName,LocalDateTime,DataValue,VarUnits,DataType,SiteID,SiteCode,VariableID,VariableCode,Organization,SourceDescription,SourceLink,Citation,ValueType,TimeSupport,TimeUnits,IsRegular,NoDataValue,UTCOffset,DateTimeUTC,Latitude,Longitude,VerticalDatum,Elevation_m,Comments,LatLongDatumSRSName,ValueAccuracy,CensorCode,MethodDescription,MethodLink,QualityControlLevelCode,SampleMedium,GeneralCategory,OffsetValue,OffsetDescription,OffsetUnits,QualifierCode
2014,LAKEWOOD 3.5 WNW,Precipitation,2003-10-03 00:00:00,-9999,millimeter,Incremental,6634,CocoRaHs:US1COJF0153,0,COCORAHS:PRCP,Unknown,Unknown,Unknown,Unknown,Field Observation,1,day,True,-9999,0,2003-10-03 00:00:00,39.7286,-105.1426,MSL,1745.9,Unknown,Unknown,Unknown,nc,No method specified,Unknown,Quality controlled data,Precipitation,Climate,Unknown,Unknown,Unknown,Unknown
2014,LAKEWOOD 3.5 WNW,Precipitation,2003-10-04 00:00:00,-9999,millimeter,Incremental,6634,CocoRaHs:US1COJF0153,0,COCORAHS:PRCP,Unknown,Unknown,Unknown,Unknown,Field Observation,1,day,True,-9999,0,2003-10-04 00:00:00,39.7286,-105.1426,MSL,1745.9,Unknown,Unknown,Unknown,nc,No method specified,Unknown,Quality controlled data,Precipitation,Climate,Unknown,Unknown,Unknown,Unknown
2014,LAKEWOOD 3.5 WNW,Precipitation,2003-10-05 00:00:00,-9999,millimeter,Incremental,6634,CocoRaHs:US1COJF0153,0,COCORAHS:PRCP,Unknown,Unknown,Unknown,Unknown,Field Observation,1,day,True,-9999,0,2003-10-05 00:00:00,39.7286,-105.1426,MSL,1745.9,Unknown,Unknown,Unknown,nc,No method specified,Unknown,Quality controlled data,Precipitation,Climate,Unknown,Unknown,Unknown,Unknown
2014,LAKEWOOD 3.5 WNW,Precipitation,2003-10-06 00:00:00,-9999,millimeter,Incremental,6634,CocoRaHs:US1COJF0153,0,COCORAHS:PRCP,Unknown,Unknown,Unknown,Unknown,Field Observation,1,day,True,-9999,0,2003-10-06 00:00:00,39.7286,-105.1426,MSL,1745.9,Unknown,Unknown,Unknown,nc,No method specified,Unknown,Quality controlled data,Precipitation,Climate,Unknown,Unknown,Unknown,Unknown
2014,LAKEWOOD 3.5 WNW,Precipitation,2003-10-07 00:00:00,-9999,millimeter,Incremental,6634,CocoRaHs:US1COJF0153,0,COCORAHS:PRCP,Unknown,Unknown,Unknown,Unknown,Field Observation,1,day,True,-9999,0,2003-10-07 00:00:00,39.7286,-105.1426,MSL,1745.9,Unknown,Unknown,Unknown,nc,No method specified,Unknown,Quality controlled data,Precipitation,Climate,Unknown,Unknown,Unknown,Unknown
2014,LAKEWOOD 3.5 WNW,Precipitation,2003-10-08 00:00:00,-9999,millimeter,Incremental,6634,CocoRaHs:US1COJF0153,0,COCORAHS:PRCP,Unknown,Unknown,Unknown,Unknown,Field Observation,1,day,True,-9999,0,2003-10-08 00:00:00,39.7286,-105.1426,MSL,1745.9,Unknown,Unknown,Unknown,nc,No method specified,Unknown,Quality controlled data,Precipitation,Climate,Unknown,Unknown,Unknown,Unknown
2014,LAKEWOOD 3.5 WNW,Precipitation,2003-10-09 00:00:00,-9999,millimeter,Incremental,6634,CocoRaHs:US1COJF0153,0,COCORAHS:PRCP,Unknown,Unknown,Unknown,Unknown,Field Observation,1,day,True,-9999,0,2003-10-09 00:00:00,39.7286,-105.1426,MSL,1745.9,Unknown,Unknown,Unknown,nc,No method specified,Unknown,Quality controlled data,Precipitation,Climate,Unknown,Unknown,Unknown,Unknown
2014,LAKEWOOD 3.5 WNW,Precipitation,2003-10-10 00:00:00,-9999,millimeter,Incremental,6634,CocoRaHs:US1COJF0153,0,COCORAHS:PRCP,Unknown,Unknown,Unknown,Unknown,Field Observation,1,day,True,-9999,0,2003-10-10 00:00:00,39.7286,-105.1426,MSL,1745.9,Unknown,Unknown,Unknown,nc,No method specified,Unknown,Quality controlled data,Precipitation,Climate,Unknown,Unknown,Unknown,Unknown
2014,LAKEWOOD 3.5 WNW,Precipitation,2003-10-11 00:00:00,-9999,millimeter,Incremental,6634,CocoRaHs:US1COJF0153,0,COCORAHS:PRCP,Unknown,Unknown,Unknown,Unknown,Field Observation,1,day,True,-9999,0,2003-10-11 00:00:00,39.7286,-105.1426,MSL,1745.9,Unknown,Unknown,Unknown,nc,No method specified,Unknown,Quality controlled data,Precipitation,Climate,Unknown,Unknown,Unknown,Unknown
2014,LAKEWOOD 3.5 WNW,Precipitation,2003-10-12 00:00:00,-9999,millimeter,Incremental,6634,CocoRaHs:US1COJF0153,0,COCORAHS:PRCP,Unknown,Unknown,Unknown,Unknown,Field Observation,1,day,True,-9999,0,2003-10-12 00:00:00,39.7286,-105.1426,MSL,1745.9,Unknown,Unknown,Unknown,nc,No method specified,Unknown,Quality controlled data,Precipitation,Climate,Unknown,Unknown,Unknown,Unknown
2014,LAKEWOOD 3.5 WNW,Precipitation,2003-10-13 00:00:00,-9999,millimeter,Incremental,6634,CocoRaHs:US1COJF0153,0,COCORAHS:PRCP,Unknown,Unknown,Unknown,Unknown,Field Observation,1,day,True,-9999,0,2003-10-13 00:00:00,39.7286,-105.1426,MSL,1745.9,Unknown,Unknown,Unknown,nc,No method specified,Unknown,Quality controlled data,Precipitation,Climate,Unknown,Unknown,Unknown,Unknown
2014,LAKEWOOD 3.5 WNW,Precipitation,2003-10-14 00:00:00,-9999,millimeter,Incremental,6634,CocoRaHs:US1COJF0153,0,COCORAHS:PRCP,Unknown,Unknown,Unknown,Unknown,Field Observation,1,day,True,-9999,0,2003-10-14 00:00:00,39.7286,-105.1426,MSL,1745.9,Unknown,Unknown,Unknown,nc,No method specified,Unknown,Quality controlled data,Precipitation,Climate,Unknown,Unknown,Unknown,Unknown
2014,LAKEWOOD 3.5 WNW,Precipitation,2003-10-15 00:00:00,-9999,millimeter,Incremental,6634,CocoRaHs:US1COJF0153,0,COCORAHS:PRCP,Unknown,Unknown,Unknown,Unknown,Field Observation,1,day,True,-9999,0,2003-10-15 00:00:00,39.7286,-105.1426,MSL,1745.9,Unknown,Unknown,Unknown,nc,No method specified,Unknown,Quality controlled data,Precipitation,Climate,Unknown,Unknown,Unknown,Unknown
2014,LAKEWOOD 3.5 WNW,Precipitation,2003-10-16 00:00:00,-9999,millimeter,Incremental,6634,CocoRaHs:US1COJF0153,0,COCORAHS:PRCP,Unknown,Unknown,Unknown,Unknown,Field Observation,1,day,True,-9999,0,2003-10-16 00:00:00,39.7286,-105.1426,MSL,1745.9,Unknown,Unknown,Unknown,nc,No method specified,Unknown,Quality controlled data,Precipitation,Climate,Unknown,Unknown,Unknown,Unknown
2014,LAKEWOOD 3.5 WNW,Precipitation,2003-10-17 00:00:00,-9999,millimeter,Incremental,6634,CocoRaHs:US1COJF0153,0,COCORAHS:PRCP,Unknown,Unknown,Unknown,Unknown,Field Observation,1,day,True,-9999,0,2003-10-17 00:00:00,39.7286,-105.1426,MSL,1745.9,Unknown,Unknown,Unknown,nc,No method specified,Unknown,Quality controlled data,Precipitation,Climate,Unknown,Unknown,Unknown,Unknown
2014,LAKEWOOD 3.5 WNW,Precipitation,2003-10-18 00:00:00,-9999,millimeter,Incremental,6634,CocoRaHs:US1COJF0153,0,COCORAHS:PRCP,Unknown,Unknown,Unknown,Unknown,Field Observation,1,day,True,-9999,0,2003-10-18 00:00:00,39.7286,-105.1426,MSL,1745.9,Unknown,Unknown,Unknown,nc,No method specified,Unknown,Quality controlled data,Precipitation,Climate,Unknown,Unknown,Unknown,Unknown
2014,LAKEWOOD 3.5 WNW,Precipitation,2003-10-19 00:00:00,0,millimeter,Incremental,6634,CocoRaHs:US1COJF0153,0,COCORAHS:PRCP,Unknown,Unknown,Unknown,Unknown,Field Observation,1,day,True,-9999,0,2003-10-19 00:00:00,39.7286,-105.1426,MSL,1745.9,Unknown,Unknown,Unknown,nc,No method specified,Unknown,Quality controlled data,Precipitation,Climate,Unknown,Unknown,Unknown,Unknown
2014,LAKEWOOD 3.5 WNW,Precipitation,2003-10-20 00:00:00,0,millimeter,Incremental,6634,CocoRaHs:US1COJF0153,0,COCORAHS:PRCP,Unknown,Unknown,Unknown,Unknown,Field Observation,1,day,True,-9999,0,2003-10-20 00:00:00,39.7286,-105.1426,MSL,1745.9,Unknown,Unknown,Unknown,nc,No method specified,Unknown,Quality controlled data,Precipitation,Climate,Unknown,Unknown,Unknown,Unknown
2014,LAKEWOOD 3.5 WNW,Precipitation,2003-10-21 00:00:00,0,millimeter,Incremental,6634,CocoRaHs:US1COJF0153,0,COCORAHS:PRCP,Unknown,Unknown,Unknown,Unknown,Field Observation,1,day,True,-9999,0,2003-10-21 00:00:00,39.7286,-105.1426,MSL,1745.9,Unknown,Unknown,Unknown,nc,No method specified,Unknown,Quality controlled data,Precipitation,Climate,Unknown,Unknown,Unknown,Unknown
2014,LAKEWOOD 3.5 WNW,Precipitation,2003-10-22 00:00:00,0,millimeter,Incremental,6634,CocoRaHs:US1COJF0153,0,COCORAHS:PRCP,Unknown,Unknown,Unknown,Unknown,Field Observation,1,day,True,-9999,0,2003-10-22 00:00:00,39.7286,-105.1426,MSL,1745.9,Unknown,Unknown,Unknown,nc,No method specified,Unknown,Quality controlled data,Precipitation,Climate,Unknown,Unknown,Unknown,Unknown
2014,LAKEWOOD 3.5 WNW,Precipitation,2003-10-23 00:00:00,0,millimeter,Incremental,6634,CocoRaHs:US1COJF0153,0,COCORAHS:PRCP,Unknown,Unknown,Unknown,Unknown,Field Observation,1,day,True,-9999,0,2003-10-23 00:00:00,39.7286,-105.1426,MSL,1745.9,Unknown,Unknown,Unknown,nc,No method specified,Unknown,Quality controlled data,Precipitation,Climate,Unknown,Unknown,Unknown,Unknown
2014,LAKEWOOD 3.5 WNW,Precipitation,2003-10-24 00:00:00,0,millimeter,Incremental,6634,CocoRaHs:US1COJF0153,0,COCORAHS:PRCP,Unknown,Unknown,Unknown,Unknown,Field Observation,1,day,True,-9999,0,2003-10-24 00:00:00,39.7286,-105.1426,MSL,1745.9,Unknown,Unknown,Unknown,nc,No method specified,Unknown,Quality controlled data,Precipitation,Climate,Unknown,Unknown,Unknown,Unknown
2014,LAKEWOOD 3.5 WNW,Precipitation,2003-10-25 00:00:00,0,millimeter,Incremental,6634,CocoRaHs:US1COJF0153,0,COCORAHS:PRCP,Unknown,Unknown,Unknown,Unknown,Field Observation,1,day,True,-9999,0,2003-10-25 00:00:00,39.7286,-105.1426,MSL,1745.9,Unknown,Unknown,Unknown,nc,No method specified,Unknown,Quality controlled data,Precipitation,Climate,Unknown,Unknown,Unknown,Unknown
2014,LAKEWOOD 3.5 WNW,Precipitation,2003-10-26 00:00:00,0,millimeter,Incremental,6634,CocoRaHs:US1COJF0153,0,COCORAHS:PRCP,Unknown,Unknown,Unknown,Unknown,Field Observation,1,day,True,-9999,0,2003-10-26 00:00:00,39.7286,-105.1426,MSL,1745.9,Unknown,Unknown,Unknown,nc,No method specified,Unknown,Quality controlled data,Precipitation,Climate,Unknown,Unknown,Unknown,Unknown
2014,LAKEWOOD 3.5 WNW,Precipitation,2003-10-27 00:00:00,0,millimeter,Incremental,6634,CocoRaHs:US1COJF0153,0,COCORAHS:PRCP,Unknown,Unknown,Unknown,Unknown,Field Observation,1,day,True,-9999,0,2003-10-27 00:00:00,39.7286,-105.1426,MSL,1745.9,Unknown,Unknown,Unknown,nc,No method specified,Unknown,Quality controlled data,Precipitation,Climate,Unknown,Unknown,Unknown,Unknown
