Spike Test, Basic Outlier Test, Spatial Inconsistency Test, Logical Inconsistency Test, Repeat Value Test, Missing Timestamps
0.0433189868927,0.111277103424072,0.114051580429077,0.131593704223633,0.259681701660156,36.6634044647217
0.061453104019165,0.16982626914978,0.138410329818726,0.138055324554443,0.268132448196411,36.2358322143555
0.040473461151123,0.108772993087769,0.111852645874023,0.146528959274292,0.276816844940186,36.2479224205017
0.037068367004395,0.116038799285889,0.124689102172852,0.143476486206055,0.275244951248169,36.5140857696533
0.043941259384155,0.106070518493652,0.129632711410522,0.131945610046387,0.274324178695679,35.991548538208
0.041714191436768,0.114625215530396,0.126705408096313,0.136232614517212,0.277849674224854,40.2440671920776
0.044243574142456,0.136729717254639,0.146514177322388,0.169661283493042,0.335821151733398,44.777135848999
0.039907217025757,0.117334842681885,0.132239580154419,0.149530649185181,0.303349256515503,39.4851911067963
0.049628973007202,0.153321981430054,0.161677598953247,0.163922309875488,0.312518835067749,39.2585682868958
0.040935039520264,0.117730379104614,0.129293918609619,0.148436307907105,0.291978120803833,42.3061537742615
